,runoff,soil_moisture,prism,chirps,persiann,trmm,daymet,modis,gmet_eto,gmet_etr,fldas,terraclimate,p_mean,et_mean,q_in,q_out,res_s,s,ds
2007-07-31,0.04566849693816471,1.211514595973321,0.1362496380737111,0.07684499905859943,0.11417057156086,0.14135222600455927,0.16943688185656366,1.5790099476259138,12.295116025886573,16.567849916952994,0.9242785902853954,0.43432804331520003,0.1276108633108587,6.360116504813216,1.6027239987910655,1.1089108548,1.21929991392,5634.519868356208,-5.0686290109524705
2007-08-31,0.03301152311416471,1.0292613916206184,0.029220327285053777,0.08791505385533943,0.08670099337272073,0.031453303402788936,0.012152653816269546,1.3686716999667956,11.531349650224843,15.96567552376442,0.4860206717123521,0.30961891142394987,0.04948846634643448,5.932267291418473,1.2246733085718526,0.8335080747600001,1.0237489286399999,5632.106038143196,-5.080797878513318
2007-09-30,0.09319467556944314,0.9012435276992755,0.3214057556428216,0.37650292468006574,0.4667772305420481,0.3709841473352079,0.41322889070558516,1.4007961535961855,7.824155108613897,10.888357699096389,0.2978858584643648,0.5160329559963608,0.38977978978114575,4.18544555515344,0.8342961549262847,0.97104972912,0.91979616816,5629.918288847201,-3.6072540395952237
2007-10-31,0.28257591412856475,0.8405552652002887,1.304153148618464,1.4609569544166767,2.063422776977354,1.5770762318368463,1.5010832946848847,0.8733362782742087,4.821872234186459,6.886928534404575,0.4579315826097393,1.5342276039495282,1.5813384813068452,2.9148592466849017,0.8786752007675904,1.5143372286,0.85246542888,5629.413988126959,-1.5585878773029145
2007-11-30,0.12214409013609409,0.7826637743140141,0.5483845028276806,0.9825149233262711,0.7627884146564724,0.42810204645396044,0.6062663453023259,0.8492488851660802,2.8895197041374296,4.289268262147129,0.5140696524119938,0.6288801404397931,0.6656112465133421,1.8341973288604851,0.7747768437534721,1.36015716252,0.8259135384,5629.31906279929,-1.5473789296113023
2007-12-31,0.39662978675651767,2.61616884698614,3.2047240641550254,3.5365107361578065,4.786340076640612,4.263256658035479,3.965987360694645,0.763685757752019,1.9422138721663438,2.9608131275164413,0.5053979945640645,1.413970613471674,3.951363779136714,1.5172162730941086,0.7438820279132159,1.15869287412,0.77200799544,5629.761840052758,0.6363669168802134
2008-01-31,3.95109892955357,6.408380496729752,7.626383329698096,8.346590891357918,10.292346422248093,8.36917388532861,9.166677025749188,1.1016157113657226,1.9218089970949201,2.827559437557441,1.1837227809145134,1.6361225939060455,8.760234310876381,1.7341659041677282,1.0601384868974593,0.82976692992,0.9073466545200001,5630.986781791322,7.2799885844160706
2008-02-29,2.952860632224627,6.486355134854325,3.3319138179340175,3.1329268498543534,3.2397901559407285,3.0995944238266198,4.023863672368392,1.702424232813829,2.8293025981694737,3.8941998104153353,1.4582760600046132,2.021665504636286,3.365617783984822,2.381173641207907,1.004317119645696,0.7558876453200001,1.08068759892,5631.980610376377,3.934418666802665
2008-03-31,1.9193635452405964,5.0080680872172945,0.17483441685990825,1.1247092402624608,1.5600170368377677,1.0378938047435207,0.19410470072169222,1.583520648958193,5.2795120974402705,7.168594231853841,2.1681492989712408,1.8119097042132837,0.8183118398850698,3.6023371962873663,0.8968690809446399,0.94903457808,1.21222467264,5632.095469986239,0.4299226656199703
2008-04-30,2.3503275022456473,3.5446260804869025,0.13233613255796456,0.5741364690916362,0.9316895352624479,0.5899788689380331,0.15326332702187703,2.175933346491533,7.397751661821706,9.990348612264762,2.1860247308774903,1.6609405883697195,0.4762808665743917,4.682199787965042,1.2017887146823678,1.9096132954799998,1.39268279664,5631.47039787316,-1.2804321172122435
2008-05-31,1.8684628682511057,2.511434100095097,0.3234853919900688,0.47679993598806686,0.7106010302184788,0.3761491060499163,0.3411385621606348,1.53867338212854,10.232095262762487,13.749781452580981,1.705589246689216,1.2308590250156677,0.44563480528143307,5.691399673835378,1.543331297694413,2.0032874671200003,1.54027484604,5629.806476950547,-2.951658238736622
2008-06-30,0.542302133388549,1.82536714753526,0.0028354729024399426,0.1522972044998751,0.15089386527304527,0.05492123615949343,0.0006395441689,1.3520726049370353,12.129336289110556,16.592642696654064,1.4758356096897924,0.6959742134167594,0.07231746460075075,6.449172282761642,1.6082438800573442,1.13180794404,1.28465215128,5628.207691735334,-4.416427101435161
2008-07-31,0.013963926684611766,1.4529136641887375,0.003781046580075312,0.05239279574057976,0.14912123508665528,0.05166579087930892,0.004135168168047059,1.160805486343429,12.593573584254443,16.998446875548012,0.9345530643574382,0.3749718041804801,0.05221920729093325,6.412470162936761,1.6814669031622655,0.8530402305600001,0.95578541412,5625.973559638173,-4.816540135852428
2008-08-31,0.0,1.2225916660342464,0.0018482185596957362,0.08526140690717496,0.09040770434725268,0.050292203751306344,1.4959378058823532e-05,1.1528106382074983,11.443950823765086,15.845084133525798,0.4887516870860085,0.24530709462959688,0.04556489858869771,5.835180875442797,1.3396497903599616,0.7896516933600001,0.8641551188400001,5623.344646080188,-4.917665586419647
2008-09-30,0.0,1.0586424884460928,0.0027739205119732277,0.21429570124375474,0.21289963919984675,0.05287560565912136,0.0005866333001560537,0.7787557256087592,8.669505805542931,12.281160710772522,0.23765467931850992,0.17147458420615533,0.09668629998297043,4.427710301089776,0.9178970695704576,0.8992550257200002,0.7733056164,5620.9137443033,-4.057583277228194
2008-10-31,0.12502737593926272,0.9416597667362133,0.6092439058084167,1.354287910450664,1.1646983048040327,1.0356016231361638,0.9194698909914467,0.9565998948420267,5.655305307829225,8.39400355853363,0.31179339825037766,0.7542025159085679,1.0166603270381447,3.2143809350727657,0.8814305051476992,1.01906910552,0.70520271864,5620.351422838034,-2.0252462129977804
2008-11-30,0.4427303680682667,1.496236186342099,2.235908976729411,2.8784767995443596,3.655713795866549,3.087662939114689,2.6432214157487417,0.7980008792140298,2.5861151558105413,3.7594401998805913,0.7949277994129008,1.923111536326375,2.9001967854007504,1.9723191141288876,0.6713403749766144,0.88298419104,0.67689928656,5620.445585784264,0.6326912357508582
2008-12-31,0.29533797954258834,2.5645577323174655,2.4033096047947438,2.1914236425086657,3.019063933294615,2.9061218742588517,3.0721147520006893,0.923420480336113,1.5103772272239082,2.2026330792681095,0.49520100818570545,1.3193108009819359,2.718406761371513,1.2901885191991542,0.6064757454154752,0.80315706588,0.70116923904,5620.888942598116,0.4342834027950556
2009-01-31,0.33664524450635297,2.646458161333509,1.7120873371492593,1.678485425924546,2.6520544818543557,2.652506620839498,1.8837382957900894,1.2559955805834542,2.200632669955273,3.2644253147997886,0.8226219497632915,1.2543399947886433,2.1157744323115493,1.7596031019780902,0.5923826860916737,0.61453947168,0.7622314329600001,5621.395110327298,0.527697166315442
2009-02-28,3.328248977275483,4.943588689312026,5.638537117166129,6.55013693883486,6.220626094974238,5.9827271915442015,6.953669063153551,1.648231527171815,2.5024982593174894,3.449205946438173,1.4121627447678404,2.1934118748987235,6.269139281134596,2.2411020705188083,0.9453043711060994,0.7499533730399999,1.0509064578,5622.314345137715,4.965831633138854
2009-03-31,2.5746531063446585,4.477391363207731,2.105793097771067,2.8117056461283827,3.348928627502026,2.5668239170350753,2.4337055051847636,2.21504662044672,5.064606861057719,6.858690464053932,2.083102596207693,2.276124461816571,2.653391358724263,3.699514200716527,1.1311343959477247,0.7006376091600001,1.5795944880000001,5622.373605041405,1.8965363470444134
2009-04-30,2.2102086021360945,3.288765769985406,0.7201325546260953,1.0407647269946965,1.370037190244995,1.143688708975255,0.7357286225186183,1.7463817184256,7.220657256084693,9.659213804644072,2.2257777590154024,1.916457338784427,1.002070360671932,4.553697575390838,1.296809882661888,0.7289188386,1.75806917616,5621.683849986339,0.23662333654140255
2009-05-31,1.6820648657096786,2.4369528462854024,1.3472261014908058,1.5293610495279362,1.4085352438680732,1.2769003815633928,1.447336043573428,2.3405705069945477,10.457426981096319,14.015681362814494,2.1150952963453684,1.7361357428354514,1.4018717640047271,6.132981978017236,1.9388829990362115,1.53405563988,2.1303877132799998,5620.381687633297,-2.1647236025666157
2009-06-30,0.2922312950121412,1.8047674484723957,0.4865277573271205,0.3678866485130292,0.767110502645453,0.6417425327595381,0.6965302680965597,2.198607923471862,10.286539163508476,13.562145506801436,1.4236856874040105,1.0423910007599186,0.5919595418683401,5.70267385638914,1.6132448190385154,1.87780554672,1.9760312595599998,5618.725311784449,-4.296501895657137
2009-07-31,0.011636605570509806,1.3826239278172363,0.00022200129124601409,0.05632679568973052,0.05443748802175529,0.026066488732186113,0.0007969464579058824,1.4228593925111972,12.702374441822817,17.180952619165982,1.1781293510387996,0.4295461326992565,0.027569944038564765,6.58277238744761,1.9156357253846017,1.08571773036,1.52421370296,5616.417558403147,-4.839686765558775
2009-08-31,0.015166793398713728,1.1457622752794103,0.008704777877891416,0.10229381546421369,0.10481975583665816,0.05431519694023548,0.01448720773647451,1.1912843394810981,11.123805864197667,15.323493124772453,0.6047843031296957,0.26306679815067613,0.05692415077109465,5.701286885946318,1.5953880030197762,1.37386605924,1.2935504759999998,5613.816518182827,-4.9401491184989075
2009-09-30,0.0,0.9872223915546103,0.1486215147372913,0.26609159032084256,0.3474561732665137,0.29616626306189364,0.1720700689192645,1.0103560087363266,8.879174922578411,12.63831083509179,0.34507918546678895,0.3015664715482855,0.24608112206116112,4.634897484684321,1.0472594408275968,0.9534097316399999,1.20451665612,5611.502196181335,-4.047392949830762
