,cri,gfz,jpl,mas,csr,grace_median,gldas_sm,tc_sm,gldas_swe,fldas_swe,res_ts,swe,sm,grace,t,adj
2006-08-31,-2.5964132784757505,6.984688702326453,8.114980905769684,-2.6122291728173113,8.398234470297737,6.984688702326453,1.9139297267599202,3.698582919050249,2.350808857377688e-07,0.0005524538503151231,40.14663602688,0.0002763444656004304,2.8062563229050843,11.686112953531111,11.686112953531111,11.686112953531111
2006-09-30,-11.86181614418383,-9.702475227018546,-2.0686113078560076,-10.566163473995692,-1.777367838162384,-9.702475227018546,1.503103030063802,2.8565500929285306,7.3682202924148864e-06,0.0,36.19867359528,3.6841101462074432e-06,2.1798265614961663,-5.127810373654169,-5.127810373654169,-5.127810373654169
2006-10-31,-7.111595200450761,-16.101709969279778,-6.817004952823908,-6.789288021999279,-1.4819828496801093,-6.817004952823908,1.3077070415351746,2.3481120478807385,5.2470794223241235e-05,7.430989988100705e-06,33.91114423044,2.9950892105670968e-05,1.8279095447079565,-4.177584837977659,-4.177584837977659,-4.177584837977659
2006-11-30,9.789681705503003,2.9085185219651706,-3.6988678260063272,7.952487051886945,-7.141404753608847,2.9085185219651706,1.2797722929716866,2.0121924922879186,0.0004346121823984661,0.0001415424715950659,32.68733964756,0.000288077326996766,1.6459823926298025,4.313992130488433,4.313992130488433,4.313992130488433
2006-12-31,7.5446750264219995,12.415877654376297,-0.19158838331568828,6.088212664457907,5.090723292107744,6.088212664457907,1.5901161495885157,4.016833145587181,0.0223790362733145,0.020456110189414862,32.49790178916,0.02141757323136468,2.8034746475878483,5.099028771995498,5.099028771995498,5.099028771995498
2007-01-31,15.563740185032104,3.9690791749775114,9.567407812318281,13.285230637846169,6.0618369352352754,9.567407812318281,2.064317373938625,7.281663131981986,0.05403090607418273,0.061414598156435435,33.45469989036,0.057722752115309084,4.672990252960306,6.7047889268618786,6.7047889268618786,6.7047889268618786
2007-02-28,29.115829075539487,13.154965989622537,17.800479303161364,24.982912320782926,14.241133252107876,17.800479303161364,2.4328567659808646,7.077145107626342,0.0630542595349459,0.0878821748835912,33.35522712924,0.07546821720926855,4.7550009368036035,17.800195915344105,17.800195915344105,17.800195915344105
2007-03-31,12.648115842181564,20.45456757782103,22.358019518199633,10.522081152957693,19.716919963884223,19.716919963884223,2.8124100715265006,9.60103110541433,0.03779312483452435,0.10237645852332211,35.16762863244,0.07008479167892323,6.206720588470415,16.458182234547756,16.458182234547756,16.458182234547756
2007-04-30,1.8553426396513022,15.740065132438332,10.708246426529321,1.9230516613019204,15.75120697829173,10.708246426529321,2.841046653029182,8.560548877662317,0.017034918417160094,0.11173626848892032,36.4512273918,0.06438559345304021,5.700797765345749,9.936269688519868,9.936269688519868,9.936269688519868
2007-05-31,-7.137407520691384,12.55127047396959,7.0040840952802155,-6.270329011331411,9.037761525113833,7.0040840952802155,2.576575658808699,7.5789124971167245,0.0038926619112402247,0.0259086162082576,36.57576076608,0.014900639059748913,5.077744077962712,7.552089362776545,7.552089362776545,7.552089362776545
2007-06-30,-19.935563580590177,-12.302379723577806,-0.5355189657051577,-17.11880586087195,-1.5185918943529921,-12.302379723577806,2.199372348685468,5.361258144837083,0.0011469042612417119,0.004613304181551293,34.8873721086,0.0028801042213965023,3.7803152467612753,-9.304541700058012,-9.304541700058012,-9.304541700058012
2007-07-31,-26.543024212778278,-23.913831960260477,-23.169907336557937,-22.692279339005857,-15.532492612476387,-23.169907336557937,1.7101370381915062,3.6123279115234617,2.1756562005517275e-05,7.677447015115926e-05,30.92106412896,4.926551607833827e-05,2.661232474857484,-18.081685746308832,-18.081685746308832,-18.081685746308832
2007-08-31,-36.588328278109785,-23.048897527243362,-23.40847269542381,-31.309162044251746,-21.48974046471778,-23.40847269542381,1.35149211111759,2.7133462187321573,1.3382851534945492e-05,0.0,26.92266716712,6.691425767472746e-06,2.0324191649248737,-18.781219849560888,-18.781219849560888,-18.781219849560888
2007-09-30,-32.461496790628104,-33.42926836774032,-29.01726816445033,-28.107590062266475,-29.639841408646276,-29.639841408646276,1.1530147664045067,2.20255781007507,3.235110894465408e-05,0.0,24.10857752508,1.617555447232704e-05,1.6777862882397883,-26.471128374049897,-26.471128374049897,-26.471128374049897
2007-10-31,-26.33883746995964,-38.42335112918057,-40.22692589151068,-22.662121274280643,-39.68270144472196,-38.42335112918057,1.0848834447033329,1.8737575665004202,0.00021426163996647973,0.00025163034695886716,22.694582661,0.00023294599346267343,1.4793205056018766,-36.81110725290164,-36.81110725290164,-36.81110725290164
2007-11-30,-16.486824050973112,-40.606852351597986,-27.242845984357913,-14.032940764277695,-36.103011713689924,-27.242845984357913,1.2709411951271115,2.2296134967692867,0.0012315017589947215,0.0006800924663674896,22.07317640616,0.0009557971126811055,1.750277345948199,-26.893119420983457,-26.893119420983457,-26.893119420983457
2007-12-31,1.13198278868285,-17.90951679486509,-14.408398659471219,1.1768139664698203,-17.388120077009958,-14.408398659471219,1.3919409245680636,2.280413007994488,0.004389226793525645,0.0037143997990851914,21.7552814736,0.004051813296305418,1.836176966281276,-14.179499363427919,-14.179499363427919,-14.179499363427919
2008-01-31,13.94189666306668,3.491189378351096,8.966052089283446,12.16631382613708,0.9222603144340353,8.966052089283446,1.6567710480910793,5.810404321797229,0.06885043603391482,0.09479539588132856,22.2325950618,0.08182291595762169,3.7335876849441543,6.51355667975925,6.51355667975925,6.51355667975925
2008-02-29,26.211056005162096,20.58759720797722,28.05296369394568,23.38895029049903,20.783965297114477,23.38895029049903,2.554835818799418,11.415917984012816,0.27808472352776736,0.39689105333206137,24.91528948032,0.3374878884299144,6.985376901406117,17.198801683044778,17.198801683044778,17.198801683044778
2008-03-31,15.60304336479492,30.874315609552323,33.676612509303055,13.798110255309501,35.299340894650506,30.874315609552323,2.970732710761182,12.048045107767853,0.3110528167631009,0.5565732036072351,27.36962234556,0.433813010185168,7.509388909264517,27.79964561469867,27.79964561469867,27.79964561469867
2008-04-30,-1.670690007009981,21.68546130715305,21.8321234908116,-1.328980025398559,23.70764039377622,21.68546130715305,3.105757458076746,10.434614138914462,0.08179382063586418,0.3461531968132957,28.57700930964,0.21397350872457993,6.7701857984956035,21.437116955302553,21.437116955302553,21.437116955302553
2008-05-31,-8.07902689180439,4.0920025921407825,3.8636284384633925,-6.910970556966218,3.3170711549057135,3.3170711549057135,2.7539454726053756,8.33152900724919,0.007428314541933476,0.15275819744294858,29.03751549936,0.08009325599244102,5.542737239927282,4.217893776486173,4.217893776486173,4.217893776486173
2008-06-30,-18.59241676027015,-3.8154658776417536,-2.1911439279833274,-15.931749708711306,-3.6193009947638717,-3.8154658776417536,2.263690884327364,6.270731947709775,0.0013953889029626604,0.03884485276920708,29.65925849424,0.02012012083608487,4.2672114160185695,-3.101709913456683,-3.101709913456683,-3.101709913456683
2008-07-31,-24.01144747784402,-17.51894814456779,-15.588142769303772,-20.82919697107433,-14.208261299856847,-17.51894814456779,1.8392603027543517,4.121221493592274,0.00010650143898085236,0.003596093747747225,26.95878839544,0.0018512975933640387,2.980240898173313,-13.51323870467981,-13.51323870467981,-13.51323870467981
2008-08-31,-32.17912758764216,-26.85554088619595,-19.962477342959065,-27.459926664077237,-22.446456963739802,-26.85554088619595,1.4103175578722396,3.0179679477023447,2.6975468040153297e-05,0.0,23.20179333744,1.3487734020076649e-05,2.214142752787292,-22.33060987295059,-22.33060987295059,-22.33060987295059
2008-09-30,-35.72016172834068,-33.195548363022084,-30.903247984174154,-30.360028718695162,-31.445303755631752,-31.445303755631752,1.1864894405596191,2.438510218719826,6.402594331500247e-05,0.0,20.27895269772,3.2012971657501235e-05,1.8124998296397226,-28.12083871800182,-28.12083871800182,-28.12083871800182
2008-10-31,-32.12405386121085,-37.07573526821255,-26.94777395969122,-27.433098253958278,-37.81961928002881,-32.12405386121085,1.088287204996084,2.0602451438523413,0.00017959406597154693,1.7220854166952002e-06,18.55765972776,9.065807569412107e-05,1.5742661744242126,-30.164585881139374,-30.164585881139374,-30.164585881139374
2008-11-30,-35.17191770298895,-32.697295306984834,-25.197405682170878,-30.09656179263291,-25.630662682015853,-30.09656179263291,1.1182571182546948,1.8189123924639239,0.0002364470827858073,2.0352254933940444e-05,17.4307437654,0.00012839966885987386,1.4685847553593092,-28.86400215280117,-28.86400215280117,-28.86400215280117
2008-12-31,-23.094865743671424,-23.735917681284263,-24.127083631912743,-19.398936767067188,-22.848726962513314,-23.094865743671424,1.5106360742361458,4.0877083519224255,0.005368370580603111,0.018350122090933913,17.74137596772,0.011859246335768512,2.7991722130792858,-24.747816250378307,-24.747816250378307,-24.747816250378307
2009-01-31,-12.18022124650751,-8.743882952034962,1.1226027765351876,-10.062098679376051,-13.516605497821864,-10.062098679376051,1.765170549997713,6.4584288797173395,0.058292316727491834,0.07953162285686156,17.83252767276,0.0689119697921767,4.1117997148575265,-11.522930609650702,-11.522930609650702,-11.522930609650702
2009-02-28,8.086705550192546,2.4547315845306903,1.4181284566406878,7.488668587266212,5.5126342232906556,5.5126342232906556,2.229327339781029,7.173440687442395,0.09050563029959494,0.16466568987664265,19.02381895632,0.12758566008811878,4.701384013611712,3.67308495068053,3.67308495068053,3.67308495068053
2009-03-31,-2.2896412787437095,9.647916008852455,21.537858131088242,-1.410552494441794,14.43376913486131,9.647916008852455,2.5266425496694986,10.772595181747652,0.04558066412088839,0.21243302802010547,21.96860320524,0.12900684607049692,6.649618865708575,4.753475721853212,4.753475721853212,4.753475721853212
